training_period,test_period,series_length,predict_length,training_start,training_end,test_start,test_end,test_score,test_accuracy,initial_BTC_price,last_BTC_price,total_balance_with_model,total_balance_without_model,average_daily_profit_with_model,average_daily_profil_without_model
6,1,7,1,2018-05-01,2018-10-31,2018-11-01,2018-11-30,2.49,0.34,6318.14,4017.27,-311.63,-364.17,-10.75,-12.56
6,1,7,1,2018-06-01,2018-11-30,2018-12-01,2018-12-30,1.01,0.56,4024.46,3865.95,37.31,-39.39,1.38,-1.46
6,1,7,1,2018-07-01,2018-12-31,2019-01-01,2019-01-31,1.52,0.37,3746.71,3457.79,-90.79,-77.11,-3.03,-2.57
6,1,7,1,2018-08-01,2019-01-31,2019-02-01,2019-02-28,1.04,0.52,3460.55,3854.79,53.56,113.92,1.98,4.22
6,1,7,1,2018-09-01,2019-02-28,2019-03-01,2019-03-28,1.71,0.48,3853.76,4069.11,39.78,55.88,1.47,2.07
6,1,7,1,2018-10-01,2019-03-31,2019-04-01,2019-04-30,0.56,0.69,4105.36,5350.73,150.57,303.35,5.19,10.46
6,1,7,1,2018-11-01,2019-04-30,2019-05-01,2019-05-30,1.19,0.54,5350.91,8319.47,82.9,554.78,2.96,19.81
6,1,7,1,2018-12-01,2019-05-31,2019-06-01,2019-06-30,2.14,0.48,8573.84,10817.16,273.18,261.65,9.42,9.02
6,1,7,1,2019-01-01,2019-06-30,2019-07-01,2019-07-30,2.03,0.45,10796.93,9607.42,-236.65,-110.17,-8.16,-3.8
6,1,7,1,2019-02-01,2019-07-31,2019-08-01,2019-08-31,3.19,0.43,10077.44,9630.66,-56.0,-44.33,-1.87,-1.48
6,1,7,1,2019-03-01,2019-08-31,2019-09-01,2019-09-30,1.63,0.45,9630.59,8293.87,-177.82,-138.8,-6.13,-4.79
6,1,7,1,2019-04-01,2019-09-30,2019-10-01,2019-10-30,3.41,0.34,8299.72,9205.73,103.64,109.16,3.57,3.76
6,1,7,1,2019-05-01,2019-10-31,2019-11-01,2019-11-30,1.24,0.59,9193.99,7569.63,4.7,-176.68,0.16,-6.09
6,1,7,1,2019-06-01,2019-11-30,2019-12-01,2019-12-30,1.4,0.55,7571.62,7293.0,28.61,-36.8,0.99,-1.27
6,1,7,3,2018-05-01,2018-10-31,2018-11-01,2018-11-30,2.8,0.56,6318.14,4257.42,-228.41,-326.16,-8.46,-12.08
6,1,7,3,2018-06-01,2018-11-30,2018-12-01,2018-12-30,2.6,0.48,4024.46,3923.92,-138.25,-24.98,-5.53,-1.0
6,1,7,3,2018-07-01,2018-12-31,2019-01-01,2019-01-31,2.19,0.5,3746.71,3448.12,-68.05,-79.69,-2.43,-2.85
6,1,7,3,2018-08-01,2019-01-31,2019-02-01,2019-02-28,1.84,0.4,3460.55,3854.36,174.32,113.8,6.97,4.55
6,1,7,3,2018-09-01,2019-02-28,2019-03-01,2019-03-28,2.56,0.52,3853.76,3985.08,-25.11,34.08,-1.0,1.36
6,1,7,3,2018-10-01,2019-03-31,2019-04-01,2019-04-30,2.6,0.41,4105.36,5285.14,45.86,287.38,1.7,10.64
6,1,7,3,2018-11-01,2019-04-30,2019-05-01,2019-05-30,2.42,0.54,5350.91,8719.96,251.57,629.62,9.68,24.22
6,1,7,3,2018-12-01,2019-05-31,2019-06-01,2019-06-30,3.43,0.3,8573.84,12407.33,332.68,447.11,12.32,16.56
6,1,7,3,2019-01-01,2019-06-30,2019-07-01,2019-07-30,0.77,0.7,10796.93,9552.86,9.22,-115.22,0.34,-4.27
6,1,7,3,2019-02-01,2019-07-31,2019-08-01,2019-08-31,2.63,0.57,10077.44,9510.2,-48.85,-56.29,-1.74,-2.01
6,1,7,3,2019-03-01,2019-08-31,2019-09-01,2019-09-30,2.27,0.63,9630.59,8245.92,-33.26,-143.78,-1.23,-5.33
6,1,7,3,2019-04-01,2019-09-30,2019-10-01,2019-10-30,2.07,0.56,8299.72,9256.15,141.95,115.24,5.26,4.27
6,1,7,3,2019-05-01,2019-10-31,2019-11-01,2019-11-30,1.55,0.67,9193.99,7463.11,-24.34,-188.26,-0.9,-6.97
6,1,7,3,2019-06-01,2019-11-30,2019-12-01,2019-12-30,2.63,0.33,7571.62,7317.99,22.03,-33.5,0.82,-1.24
6,1,7,7,2018-05-01,2018-10-31,2018-11-01,2018-11-30,1.57,0.74,6318.14,3880.76,-5.34,-385.77,-0.23,-16.77
6,1,7,7,2018-06-01,2018-11-30,2018-12-01,2018-12-30,0.68,0.76,4024.46,4014.18,132.55,-2.55,6.31,-0.12
6,1,7,7,2018-07-01,2018-12-31,2019-01-01,2019-01-31,3.45,0.42,3746.71,3599.77,23.06,-39.22,0.96,-1.63
6,1,7,7,2018-08-01,2019-01-31,2019-02-01,2019-02-28,1.94,0.57,3460.55,4005.53,153.48,157.48,7.31,7.5
6,1,7,7,2018-09-01,2019-02-28,2019-03-01,2019-03-28,1.49,0.62,3853.76,4023.97,34.37,44.17,1.64,2.1
6,1,7,7,2018-10-01,2019-03-31,2019-04-01,2019-04-30,1.84,0.61,4105.36,5464.87,138.94,331.15,6.04,14.4
6,1,7,7,2018-11-01,2019-04-30,2019-05-01,2019-05-30,3.3,0.36,5350.91,7987.37,91.54,492.71,4.16,22.4
6,1,7,7,2018-12-01,2019-05-31,2019-06-01,2019-06-30,2.02,0.57,8573.84,11011.1,92.76,284.27,4.03,12.36
6,1,7,7,2019-01-01,2019-06-30,2019-07-01,2019-07-30,4.25,0.3,10796.93,9811.93,-115.36,-91.23,-5.02,-3.97
6,1,7,7,2019-02-01,2019-07-31,2019-08-01,2019-08-31,0.74,0.83,10077.44,10138.52,43.56,6.06,1.81,0.25
6,1,7,7,2019-03-01,2019-08-31,2019-09-01,2019-09-30,1.69,0.74,9630.59,8620.57,59.06,-104.88,2.57,-4.56
6,1,7,7,2019-04-01,2019-09-30,2019-10-01,2019-10-30,2.17,0.65,8299.72,7493.49,-61.63,-97.14,-2.68,-4.22
6,1,7,7,2019-05-01,2019-10-31,2019-11-01,2019-11-30,1.45,0.61,9193.99,7047.92,-80.76,-233.42,-3.51,-10.15
6,1,7,7,2019-06-01,2019-11-30,2019-12-01,2019-12-30,1.98,0.57,7571.62,7322.53,17.72,-32.9,0.77,-1.43
6,1,15,1,2018-05-01,2018-10-31,2018-11-01,2018-11-30,1.9,0.52,6318.14,4017.27,-43.73,-364.17,-1.51,-12.56
6,1,15,1,2018-06-01,2018-11-30,2018-12-01,2018-12-30,1.25,0.52,4024.46,3865.95,129.37,-39.39,4.79,-1.46
6,1,15,1,2018-07-01,2018-12-31,2019-01-01,2019-01-31,0.94,0.47,3746.71,3457.79,8.36,-77.11,0.28,-2.57
6,1,15,1,2018-08-01,2019-01-31,2019-02-01,2019-02-28,0.67,0.56,3460.55,3854.79,202.66,113.92,7.51,4.22
6,1,15,1,2018-09-01,2019-02-28,2019-03-01,2019-03-28,0.72,0.56,3853.76,4069.11,18.27,55.88,0.68,2.07
6,1,15,1,2018-10-01,2019-03-31,2019-04-01,2019-04-30,0.78,0.55,4105.36,5350.73,153.64,303.35,5.3,10.46
6,1,15,1,2018-11-01,2019-04-30,2019-05-01,2019-05-30,2.2,0.61,5350.91,8319.47,397.15,554.78,14.18,19.81
6,1,15,1,2018-12-01,2019-05-31,2019-06-01,2019-06-30,1.02,0.76,8573.84,10817.16,373.86,261.65,12.89,9.02
6,1,15,1,2019-01-01,2019-06-30,2019-07-01,2019-07-30,1.84,0.55,10796.93,9607.42,-19.8,-110.17,-0.68,-3.8
6,1,15,1,2019-02-01,2019-07-31,2019-08-01,2019-08-31,2.44,0.67,10077.44,9630.66,190.09,-44.33,6.34,-1.48
6,1,15,1,2019-03-01,2019-08-31,2019-09-01,2019-09-30,0.95,0.34,9630.59,8293.87,-105.22,-138.8,-3.63,-4.79
6,1,15,1,2019-04-01,2019-09-30,2019-10-01,2019-10-30,1.53,0.52,8299.72,9205.73,-40.01,109.16,-1.38,3.76
6,1,15,1,2019-05-01,2019-10-31,2019-11-01,2019-11-30,1.01,0.41,9193.99,7569.63,-136.04,-176.68,-4.69,-6.09
6,1,15,1,2019-06-01,2019-11-30,2019-12-01,2019-12-30,0.86,0.52,7571.62,7293.0,11.32,-36.8,0.39,-1.27
6,1,15,3,2018-05-01,2018-10-31,2018-11-01,2018-11-30,2.99,0.52,6318.14,4257.42,-305.01,-326.16,-11.3,-12.08
6,1,15,3,2018-06-01,2018-11-30,2018-12-01,2018-12-30,2.97,0.4,4024.46,3923.92,-48.05,-24.98,-1.92,-1.0
6,1,15,3,2018-07-01,2018-12-31,2019-01-01,2019-01-31,1.57,0.32,3746.71,3448.12,-80.13,-79.69,-2.86,-2.85
6,1,15,3,2018-08-01,2019-01-31,2019-02-01,2019-02-28,1.94,0.48,3460.55,3854.36,123.21,113.8,4.93,4.55
6,1,15,3,2018-09-01,2019-02-28,2019-03-01,2019-03-28,1.98,0.52,3853.76,3985.08,12.06,34.08,0.48,1.36
6,1,15,3,2018-10-01,2019-03-31,2019-04-01,2019-04-30,3.54,0.7,4105.36,5285.14,298.81,287.38,11.07,10.64
6,1,15,3,2018-11-01,2019-04-30,2019-05-01,2019-05-30,3.36,0.46,5350.91,8719.96,231.44,629.62,8.9,24.22
6,1,15,3,2018-12-01,2019-05-31,2019-06-01,2019-06-30,0.65,0.89,8573.84,12407.33,172.68,447.11,6.4,16.56
6,1,15,3,2019-01-01,2019-06-30,2019-07-01,2019-07-30,1.66,0.67,10796.93,9552.86,0,-115.22,0.0,-4.27
6,1,15,3,2019-02-01,2019-07-31,2019-08-01,2019-08-31,1.94,0.61,10077.44,9510.2,112.1,-56.29,4.0,-2.01
6,1,15,3,2019-03-01,2019-08-31,2019-09-01,2019-09-30,1.29,0.59,9630.59,8245.92,7.27,-143.78,0.27,-5.33
6,1,15,3,2019-04-01,2019-09-30,2019-10-01,2019-10-30,3.03,0.48,8299.72,9256.15,216.59,115.24,8.02,4.27
6,1,15,3,2019-05-01,2019-10-31,2019-11-01,2019-11-30,1.25,0.52,9193.99,7463.11,-2.87,-188.26,-0.11,-6.97
6,1,15,3,2019-06-01,2019-11-30,2019-12-01,2019-12-30,3.5,0.52,7571.62,7317.99,-58.32,-33.5,-2.16,-1.24
6,1,15,7,2018-05-01,2018-10-31,2018-11-01,2018-11-30,1.86,0.26,6318.14,3880.76,-325.8,-385.77,-14.17,-16.77
6,1,15,7,2018-06-01,2018-11-30,2018-12-01,2018-12-30,4.55,0.48,4024.46,4014.18,-72.04,-2.55,-3.43,-0.12
6,1,15,7,2018-07-01,2018-12-31,2019-01-01,2019-01-31,7.7,0.25,3746.71,3599.77,-48.84,-39.22,-2.04,-1.63
6,1,15,7,2018-08-01,2019-01-31,2019-02-01,2019-02-28,0.89,0.62,3460.55,4005.53,111.6,157.48,5.31,7.5
6,1,15,7,2018-09-01,2019-02-28,2019-03-01,2019-03-28,2.56,0.33,3853.76,4023.97,3.9,44.17,0.19,2.1
6,1,15,7,2018-10-01,2019-03-31,2019-04-01,2019-04-30,0.66,0.7,4105.36,5464.87,323.64,331.15,14.07,14.4
6,1,15,7,2018-11-01,2019-04-30,2019-05-01,2019-05-30,1.67,0.36,5350.91,7987.37,109.01,492.71,4.96,22.4
6,1,15,7,2018-12-01,2019-05-31,2019-06-01,2019-06-30,0.83,0.83,8573.84,11011.1,263.46,284.27,11.45,12.36
6,1,15,7,2019-01-01,2019-06-30,2019-07-01,2019-07-30,2.59,0.61,10796.93,9811.93,0,-91.23,0.0,-3.97
6,1,15,7,2019-02-01,2019-07-31,2019-08-01,2019-08-31,1.11,0.83,10077.44,10138.52,43.56,6.06,1.81,0.25
6,1,15,7,2019-03-01,2019-08-31,2019-09-01,2019-09-30,1.9,0.7,9630.59,8620.57,91.09,-104.88,3.96,-4.56
6,1,15,7,2019-04-01,2019-09-30,2019-10-01,2019-10-30,4.18,0.35,8299.72,7493.49,-75.26,-97.14,-3.27,-4.22
6,1,15,7,2019-05-01,2019-10-31,2019-11-01,2019-11-30,2.62,0.3,9193.99,7047.92,-115.33,-233.42,-5.01,-10.15
6,1,15,7,2019-06-01,2019-11-30,2019-12-01,2019-12-30,3.21,0.39,7571.62,7322.53,-37.47,-32.9,-1.63,-1.43
6,1,30,1,2018-05-01,2018-10-31,2018-11-01,2018-11-30,1.5,0.48,6318.14,4017.27,-94.7,-364.17,-3.27,-12.56
6,1,30,1,2018-06-01,2018-11-30,2018-12-01,2018-12-30,0.79,0.48,4024.46,3865.95,94.88,-39.39,3.51,-1.46
6,1,30,1,2018-07-01,2018-12-31,2019-01-01,2019-01-31,0.86,0.43,3746.71,3457.79,-104.84,-77.11,-3.49,-2.57
6,1,30,1,2018-08-01,2019-01-31,2019-02-01,2019-02-28,0.7,0.52,3460.55,3854.79,-82.38,113.92,-3.05,4.22
6,1,30,1,2018-09-01,2019-02-28,2019-03-01,2019-03-28,0.7,0.33,3853.76,4069.11,25.3,55.88,0.94,2.07
6,1,30,1,2018-10-01,2019-03-31,2019-04-01,2019-04-30,0.72,0.31,4105.36,5350.73,0,303.35,0.0,10.46
6,1,30,1,2018-11-01,2019-04-30,2019-05-01,2019-05-30,2.53,0.68,5350.91,8319.47,432.41,554.78,15.44,19.81
6,1,30,1,2018-12-01,2019-05-31,2019-06-01,2019-06-30,8.48,0.31,8573.84,10817.16,64.81,261.65,2.23,9.02
6,1,30,1,2019-01-01,2019-06-30,2019-07-01,2019-07-30,2.99,0.55,10796.93,9607.42,173.21,-110.17,5.97,-3.8
6,1,30,1,2019-02-01,2019-07-31,2019-08-01,2019-08-31,2.84,0.3,10077.44,9630.66,-212.55,-44.33,-7.09,-1.48
6,1,30,1,2019-03-01,2019-08-31,2019-09-01,2019-09-30,1.56,0.69,9630.59,8293.87,0,-138.8,0.0,-4.79
6,1,30,1,2019-04-01,2019-09-30,2019-10-01,2019-10-30,0.97,0.34,8299.72,9205.73,80.66,109.16,2.78,3.76
6,1,30,1,2019-05-01,2019-10-31,2019-11-01,2019-11-30,0.75,0.48,9193.99,7569.63,-5.42,-176.68,-0.19,-6.09
6,1,30,1,2019-06-01,2019-11-30,2019-12-01,2019-12-30,2.34,0.45,7571.62,7293.0,-20.5,-36.8,-0.71,-1.27
6,1,30,3,2018-05-01,2018-10-31,2018-11-01,2018-11-30,1.37,0.52,6318.14,4257.42,-305.01,-326.16,-11.3,-12.08
6,1,30,3,2018-06-01,2018-11-30,2018-12-01,2018-12-30,1.34,0.36,4024.46,3923.92,41.83,-24.98,1.67,-1.0
6,1,30,3,2018-07-01,2018-12-31,2019-01-01,2019-01-31,1.62,0.5,3746.71,3448.12,-110.18,-79.69,-3.93,-2.85
6,1,30,3,2018-08-01,2019-01-31,2019-02-01,2019-02-28,3.77,0.44,3460.55,3854.36,126.58,113.8,5.06,4.55
6,1,30,3,2018-09-01,2019-02-28,2019-03-01,2019-03-28,0.81,0.64,3853.76,3985.08,0.94,34.08,0.04,1.36
6,1,30,3,2018-10-01,2019-03-31,2019-04-01,2019-04-30,1.29,0.74,4105.36,5285.14,146.79,287.38,5.44,10.64
6,1,30,3,2018-11-01,2019-04-30,2019-05-01,2019-05-30,2.43,0.5,5350.91,8719.96,298.3,629.62,11.47,24.22
6,1,30,3,2018-12-01,2019-05-31,2019-06-01,2019-06-30,4.53,0.3,8573.84,12407.33,0,447.11,0.0,16.56
6,1,30,3,2019-01-01,2019-06-30,2019-07-01,2019-07-30,3.24,0.67,10796.93,9552.86,0,-115.22,0.0,-4.27
